filename,db_name,person,gender,age_group,num_ppl_in_pic,dominance,valence,arousal,annot_emotion,xImg_pix,yImg_pix
COCO_val2014_000000562243.jpg,mscoco,person1,Male,Adult,1,9,5,3,Disconnection,640,640
COCO_val2014_000000562243.jpg,mscoco,person1,Male,Adult,1,9,5,3,Doubt/Confusion,640,640
COCO_train2014_000000288841.jpg,mscoco,person1,Male,Adult,1,7,6,4,Anticipation,640,480
COCO_val2014_000000558171.jpg,mscoco,person1,Male,Teenager,1,8,7,8,Engagement,640,480
COCO_val2014_000000558171.jpg,mscoco,person1,Male,Teenager,1,8,7,8,Excitement,640,480
COCO_val2014_000000558171.jpg,mscoco,person1,Male,Teenager,1,8,7,8,Happiness,640,480
COCO_train2014_000000369575.jpg,mscoco,person1,Male,Kid,1,8,8,9,Aversion,480,640
COCO_train2014_000000369575.jpg,mscoco,person1,Male,Kid,1,8,8,9,Pleasure,480,640
COCO_train2014_000000213009.jpg,mscoco,person1,Male,Adult,1,10,7,9,Confidence,500,333
COCO_train2014_000000213009.jpg,mscoco,person1,Male,Adult,1,10,7,9,Excitement,500,333
COCO_train2014_000000462955.jpg,mscoco,person1,Male,Adult,1,8,3,6,Anticipation,640,478
COCO_train2014_000000462955.jpg,mscoco,person1,Male,Adult,1,8,3,6,Engagement,640,478
COCO_train2014_000000462955.jpg,mscoco,person1,Male,Adult,1,8,3,6,Peace,640,478
COCO_val2014_000000168683.jpg,mscoco,person1,Male,Adult,1,7,6,7,Anticipation,500,375
COCO_val2014_000000168683.jpg,mscoco,person1,Male,Adult,1,7,6,7,Engagement,500,375
COCO_train2014_000000186198.jpg,mscoco,person1,Male,Kid,1,8,7,7,Anticipation,640,429
COCO_train2014_000000186198.jpg,mscoco,person1,Male,Kid,1,8,7,7,Peace,640,429
COCO_train2014_000000006590.jpg,mscoco,person1,Female,Kid,1,7,7,4,Engagement,640,480
COCO_train2014_000000144608.jpg,mscoco,person1,Male,Teenager,1,6,7,7,Fatigue,350,500
COCO_train2014_000000144608.jpg,mscoco,person1,Male,Teenager,1,6,7,7,Happiness,350,500
ebpsbjqzfhd7efh00i.jpg,emodb_small,person1,Female,Kid,3,4,2,7,Pain,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person1,Female,Kid,3,4,2,7,Sadness,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person1,Female,Kid,3,4,2,7,Sensitivity,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person1,Female,Kid,3,4,2,7,Suffering,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person2,Female,Kid,3,4,2,3,Sadness,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person2,Female,Kid,3,4,2,3,Suffering,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person2,Female,Kid,3,4,2,3,Sympathy,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person3,Female,Kid,3,2,2,4,Fear,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person3,Female,Kid,3,2,2,4,Sadness,623,471
ebpsbjqzfhd7efh00i.jpg,emodb_small,person3,Female,Kid,3,2,2,4,Suffering,623,471
COCO_val2014_000000547457.jpg,mscoco,person1,Female,Adult,1,7,8,4,Anticipation,640,425
COCO_val2014_000000547457.jpg,mscoco,person1,Female,Adult,1,7,8,4,Engagement,640,425
COCO_val2014_000000547457.jpg,mscoco,person1,Female,Adult,1,7,8,4,Excitement,640,425
COCO_val2014_000000547457.jpg,mscoco,person1,Female,Adult,1,7,8,4,Happiness,640,425
COCO_val2014_000000122997.jpg,mscoco,person1,Female,Adult,2,8,5,3,Engagement,640,425
COCO_val2014_000000122997.jpg,mscoco,person2,Female,Adult,2,7,6,4,Disconnection,640,425
COCO_val2014_000000122997.jpg,mscoco,person2,Female,Adult,2,7,6,4,Engagement,640,425
COCO_val2014_000000122997.jpg,mscoco,person2,Female,Adult,2,7,6,4,Peace,640,425
frame_k245twaqc30i5imc.jpg,framesdb,person1,Female,Adult,1,2,7,4,Engagement,500,334
frame_dkwhvgj0m40g01gs.jpg,framesdb,person1,Male,Adult,1,9,5,4,Happiness,634,641
COCO_train2014_000000179164.jpg,mscoco,person1,Male,Adult,1,3,2,3,Yearning,640,480
COCO_val2014_000000121006.jpg,mscoco,person1,Male,Teenager,1,6,8,6,Confidence,640,455
COCO_val2014_000000121006.jpg,mscoco,person1,Male,Teenager,1,6,8,6,Happiness,640,455
